date,deaths,name,negative,pending,positive,Travel-related,Local,Unknown
2020-03-19 11:00 AM,1,Canada National,42157,,628,,,
2020-03-20 16:00 PM,0,"New Brunswick, Canada",509,,11,,,
2019-03-20 20:20 PM,0,"Nova Scotia, CAN",1546,,15,,,
2020-03-20 13:00 PM,1,"Quebec, Canada",7666,,139,,,
2020-03-20 17:33 PM,0,Czech Rebublic,10786,,833,,,
2020-03-20 19:34 PM,4,Hungary,2922,,85,,,
2020-03-21 02:24 AM,0,Vietnam,15546,,91,,,
2020-03-20 09:00 AM,177,United Kingdom,62993,,3983,,,
2020-03-22 12:00 PM,,Australia Capital,2395,,19,,,
2020-03-21 00:00 AM,,"NSW, AUS",46456,,436,,,
2020-03-22 15:00 PM,12,Austria,18124,,3244,,,
2020-03-22 11:26 AM,2,Bahrain,23023,,183,,,
2020-03-21 15:00 PM,10,"British Columbia, CAN",17488,,424,,,
2020-03-21 17:00 PM,19,Canada National,77383,,1176,,,
2020-03-22 12:00 PM,0,"New Brunswick, Canada",841,,17,,,
2019-03-22 20:20 PM,0,"Nova Scotia, CAN",2088,,28,,,
2020-03-22 05:30 pm,3,"Ontario, CAN",17634,8361,413,,,
2020-03-22 13:00 PM,4,"Quebec, Canada",9786,,219,,,
2020-03-22 17:27 PM,0,Czech Rebublic,14464,,1120,,,
2020-03-22 11:40 AM,6,Hungary,4312,,131,,,
2020-03-22 09:00 AM,281,United Kingdom,72657,,5683,,,
2020-03-22 22:33 PM,0,Vietnam,17035,,113,,,
2020-03-26,17,Romania,14969,,1029,,,
2020-03-25,13,Romania,13560,,906,,,
2020-03-24,8,Romania,11862,,762,,,
2020-03-23,4,Romania,10647,,576,,,
2020-03-22,2,Romania,9534,,433,,,
2020-03-21,0,Romania,8548,,367,,,
2020-03-20,0,Romania,8076,,208,,,
2020-03-19,0,Romania,4696,,277,,,
2020-03-18,0,Romania,4410,,260,,,
2020-03-17,0,Romania,3928,,217,,,
2020-03-16,0,Romania,3540,,168,,,
2020-03-15,0,Romania,3066,,139,,,
2020-03-14,0,Romania,2827,,102,,,
2020-03-12,0,Romania,,,48,,,
2020-03-10,0,Romania,1150,,29,,,
2020-03-8,0,Romania,934,,14,,,
2020-03-7,0,Romania,798,,11,,,
2020-03-6,0,Romania,726,,8,,,
2020-03-5,0,Romania,651,,6,,,
2020-03-4,0,Romania,,,4,,,
2020-03-2,0,Romania,472,,2,,,
2020-02-28,0,Romania,,,3,,,
2020-02-27,0,Romania,,17,1,,,
2020-03-24 13:00 PM,,Australia Capital,2780,,39,,,
2020-03-22 00:00 AM,,"NSW, AUS",52130,,533,,,
2020-03-23 15:00 PM,21,Austria,19505,,3924,,,
2020-03-23 21:13 PM,2,Bahrain,24958,,211,,,
2020-03-23 10:00 AM,13,"British Columbia, CAN",20824,,472,,,
2020-03-23 18:00 PM,24,Canada National,95500,,1584,,,
2020-03-23 15:30 PM,0,"New Brunswick, Canada",1079,,17,,,
2019-03-23 20:20 PM,0,"Nova Scotia, CAN",2308,,41,,,
2020-03-23 05:30 pm,6,"Ontario, CAN",19586,8416,497,,,
2020-03-23 13:00 PM,4,"Quebec, Canada",11211,,628,,,
2020-03-23 17:27 PM,1,Czech Rebublic,16141,,1236,,,
2020-03-23 19:14 PM,8,Hungary,5348,,167,,,
2020-03-23 09:00 AM,,United Kingdom,77295,,6650,,,
2020-03-24 10:47 AM,0,Vietnam,17025,,123,,,
2020-03-23 00:00 AM,,"NSW, AUS",56272,,669,,,
2020-03-24 09:00 AM,422,United Kingdom,82359,,8077,,,
2020-03-24 18:00 PM,27,Canada National,108743,14072,2247,,,
2020-03-24 13:00 PM,,Australia Capital,2780,,39,,,
2020-03-23 05:30 pm,8,"Ontario, CAN",21795,10074,572,,,
2020-03-24 00:00 AM,2,"Alberta, CAN",32418,,358,,,
2020-03-24 15:30 PM,0,"New Brunswick, Canada",1237,,18,,,
2020-03-24 13:00 PM,4,"Quebec, Canada",12202,,1013,,,
2020-03-24 00:00 AM,0,"Nova Scotia, CAN",2474,,51,,,
2020-03-24 11:15 AM,9,Hungary,5926,,187,,,
2020-03-24 15:00 PM,28,Austria,23515,,4876,,,
2020-03-24 15:00 PM,13,"British Columbia, CAN",26064,,617,,,
2020-03-24 00:00 AM,,"NSW, AUS",61030,,818,,,
2020-03-24 23:24 PM,0,Vietnam,24177,,134,,,
